"Номер карты";"Держатель";"Дата транзакции";"Время транзакции";"Товар";"Количество";"Единица измерения";"Цена со скидкой";"Стоимость со скидкой";"Город АЗС";"Адрес АЗС"                                                                                                                                    
805005362;ПЧ-22 УАЗы г.№Х627ВМ;Х628ВМ96;01.04.2016;14:37:08;Аи-92;-40;л.;34;-1360;г. Советский, Трассовиков, 6а;                                                                                                                                                                                            
805005397;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;09:07:39;ДТ;-200;л.;35,7;-7140;Екатеринбург - Тюмень в обход р.п. Белоя;Свердловская область, Белоярский район, северо-западная окраина с. Малобрусянское                                                                                       
805005397;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;09:45:02;ДТ;-200;л.;35,7;-7140;Екатеринбург - Тюмень в обход р.п. Белоя;Свердловская область, Белоярский район, северо-западная окраина с. Малобрусянское                                                                                       
805005397;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;09:52:18;ДТ;97,85;л.;35,7;3493,25;Екатеринбург - Тюмень в обход р.п. Белоя;Свердловская область, Белоярский район, северо-западная окраина с. Малобрусянское                                                                                    
805005397;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;09:53:16;ДТ;-97,85;л.;35,7;-3493,25;Екатеринбург - Тюмень в обход р.п. Белоя;Свердловская область, Белоярский район, северо-западная окраина с. Малобрусянское                                                                                  
805005398;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;10:44:03;ДТ;-200;л.;36,2;-7240;46-й км Тюмского тракта, г. Заречный;Свердловская область, а/д Екатеринбург-Тюмень, 46-й км, ближайший н.п. г. Заречный                                                                                          
805005329;ПЧ-1 ГАЗ 377760 Кез;01.04.2016;08:55:17;Аи-92;-20;л.;34;-680;АЗС №35 Кез (ООО Луч);УР, п. Кез, ул. Б-Кезская, 62.                                                                                                                                                                                 
805005444;ШЧ-3;01.04.2016;07:37:01;ДТ;-60;л.;36,29;-2177,4;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                             
805005296;НГЧ-1 Пермь;01.04.2016;07:39:42;Аи-92;-100;л.;34;-3400;АЗС г. Верещагино Южная окр.;                                                                                                                                                                                                              
805005296;НГЧ-1 Пермь;01.04.2016;07:40:17;Аи-92;-50;л.;34;-1700;АЗС г. Верещагино Южная окр.;                                                                                                                                                                                                               
805005337;ПЧ-3 ГАЗ-3307;01.04.2016;08:10:53;Аи-92;-50;л.;34,95;-1747,5;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                 
805005337;ПЧ-3 ГАЗ-3307;01.04.2016;08:15:58;Аи-92;-50;л.;34,95;-1747,5;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                 
805005280;ДТВУ-1;01.04.2016;09:17:27;Аи-92;-80;л.;34;-2720;АЗС г. Верещагино Южная окр.;                                                                                                                                                                                                                    
805005418;ДТВУ-1;01.04.2016;09:22:03;ДТ;-50;л.;35,5;-1775;АЗС г. Верещагино Южная окр.;                                                                                                                                                                                                                     
805005336;ПЧ-3 УАЗ-390994;01.04.2016;09:23:17;Аи-92;-55;л.;34,95;-1922,25;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                              
805005338;ПЧ-3 ГАЗ-66;01.04.2016;10:02:02;Аи-92;-70;л.;34,95;-2446,5;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                   
805005356;ПЧ-16 маз5551;02.04.2016;04:40:40;ДТ;-50;л.;36,7;-1835;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                 
805005352;ПЧ-16 пчу-2;02.04.2016;15:48:39;Аи-92;-30;л.;34,7;-1041;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                
805005352;ПЧ-16 пчу-2;02.04.2016;18:51:55;Аи-92;-20;л.;34,7;-694;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                 
805005351;ПЧ-16 лдм;02.04.2016;20:28:37;Аи-92;-40;л.;34,7;-1388;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                  
805005363;ПЧ-22 01 л.у.;01 укр.бриг.;02.04.2016;11:43:23;Аи-92;-40;л.;34;-1360;г. Советский, Трассовиков, 6а;                                                                                                                                                                                               
805005336;ПЧ-3 УАЗ-390994;02.04.2016;16:12:21;Аи-92;-20;л.;34,95;-699;АЗС ГПН №506 13км;                                                                                                                                                                                                                    
805005368;ШЧ-9;02.04.2016;05:33:38;Аи-92;-20;л.;36,4;-728;АЗС г. Александровск Бр. Давыдовых 2а;                                                                                                                                                                                                            
805005373;ШЧ-10;02.04.2016;11:14:04;Аи-92;-30;л.;35,95;-1078,5;АЗС г. Чусовой, ул. Механическая, 11;                                                                                                                                                                                                        
805005443;ШЧ-3;02.04.2016;11:28:28;Аи-92;-50;л.;34,95;-1747,5;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                          
805005278;ПМС-43;02.04.2016;12:50:09;Аи-92;-20;л.;34,95;-699;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                           
805005278;ПМС-43;02.04.2016;12:53:33;Аи-92;-40;л.;34,95;-1398;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                          
805005333;ПЧ-3 5лин.уч-к;01.04.2016;10:13:56;Аи-92;-120;л.;34,95;-4194;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                 
805005391;ПЧ ИССО КАМАЗ-65225-43;01.04.2016;10:52:44;ДТ;-300;л.;36,29;-10887;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                           
805005293;НГЧ-1 Верещагино;01.04.2016;10:59:07;ДТ;-50;л.;35,5;-1775;АЗС г. Верещагино Южная окр.;                                                                                                                                                                                                           
805005390;ПЧ ИССО КАМАЗ-65225-43;01.04.2016;11:00:25;ДТ;-300;л.;36,29;-10887;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                           
805005410;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;11:07:24;ДТ;-200;л.;36,29;-7258;АЗС ГПН №507 Кунгур;                                                                                                                                                                                            
805005390;ПЧ ИССО КАМАЗ-65225-43;01.04.2016;11:23:08;ДТ;-200;л.;36,29;-7258;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                            
805005391;ПЧ ИССО КАМАЗ-65225-43;01.04.2016;11:24:56;ДТ;-200;л.;36,29;-7258;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                            
805005410;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;11:37:24;ДТ;-200;л.;36,29;-7258;АЗС ГПН №507 Кунгур;                                                                                                                                                                                            
805005314;ЭЧ-2 Уаз-390995;01.04.2016;12:58:56;Аи-92;-30;л.;34,95;-1048,5;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                               
805005443;ШЧ-3;01.04.2016;14:23:19;Аи-92;-50;л.;34,95;-1747,5;АЗС ГПН №507 Кунгур;                                                                                                                                                                                                                          
805005327;ПЧ-1 ГАЗ 377760 Кез;01.04.2016;16:59:32;Аи-92;-35;л.;34;-1190;АЗС г. Верещагино Южная окр.;                                                                                                                                                                                                       
805005408;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;18:03:13;ДТ;-200;л.;37,49;-7498;АЗС г. Чусовой, ул. Механическая, 11;                                                                                                                                                                           
805005408;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;18:08:37;ДТ;-200;л.;37,49;-7498;АЗС г. Чусовой, ул. Механическая, 11;                                                                                                                                                                           
805005408;ПЧ ИССО Эксковатор Нitachi ZX180LCN-5G;01.04.2016;18:11:49;ДТ;-200;л.;37,49;-7498;АЗС г. Чусовой, ул. Механическая, 11;                                                                                                                                                                           
805005387;ПЧ ИССО УАЗ-390995;01.04.2016;18:26:04;Аи-92;-120;л.;35,95;-4314;АЗС г. Чусовой, ул. Механическая, 11;                                                                                                                                                                                            
805005433;ПЧ-1 Малая механизация;02.04.2016;05:28:58;Аи-92;-35;л.;34;-1190;АЗС г. Верещагино Южная окр.;                                                                                                                                                                                                    
805005358;ПЧ-16 мтз;01.04.2016;08:46:30;ДТ;-60;л.;36,7;-2202;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                     
805005368;ШЧ-9;01.04.2016;08:49:08;Аи-92;-60;л.;35,3;-2118;ООО НХП-РОЗНИЦА;Пермский кр., г. Березники, ул. Березниковская, д. 2, МАЗС Нефтехимпром                                                                                                                                                          
805005368;ШЧ-9;01.04.2016;08:54:17;Аи-92;-10;л.;35,3;-353;ООО НХП-РОЗНИЦА;Пермский кр., г. Березники, ул. Березниковская, д. 2, МАЗС Нефтехимпром                                                                                                                                                           
805005353;ПЧ-16 пчу-1;01.04.2016;10:21:38;Аи-92;-40;л.;34,7;-1388;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                
805005351;ПЧ-16 лдм;01.04.2016;10:28:26;Аи-92;-20;л.;34,7;-694;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                   
805005354;ПЧ-16 камаз-55111;01.04.2016;11:10:06;ДТ;-200;л.;36,7;-7340;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                            
805005353;ПЧ-16 пчу-1;01.04.2016;12:11:12;Аи-92;-30;л.;34,7;-1041;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                
805005298;НГЧ-1 Пермь;01.04.2016;14:22:05;ДТ;-100;л.;36,7;-3670;ООО НХП-РОЗНИЦА;Пермский кр., г. Березники, ул. Березниковская, д. 2, МАЗС Нефтехимпром                                                                                                                                                     
805005353;ПЧ-16 пчу-1;01.04.2016;15:12:57;Аи-92;-50;л.;34,7;-1735;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                
805005374;ШЧ-10;01.04.2016;18:13:36;Аи-92;-20;л.;34,7;-694;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                       
805005356;ПЧ-16 маз5551;01.04.2016;23:46:58;ДТ;-40;л.;36,7;-1468;ООО НХП-РОЗНИЦА;Пермский кр., г. Чусовой, ул. Юности, 22, АЗС НефтеХимПром                                                                                                                                                                 
805005407;ПЧ ИССО Бульдозер  Б-10М;01.04.2016;16:52:13;ДТ;-200;л.;34,9;-6980;АЗС №47 ГПН-Транзит;Свердловская обл.,  г. Богданович, ул.Пионерская, д.82                                                                                                                                                     
805005407;ПЧ ИССО Бульдозер  Б-10М;01.04.2016;17:01:10;ДТ;-200;л.;34,9;-6980;АЗС №47 ГПН-Транзит;Свердловская обл.,  г. Богданович, ул.Пионерская, д.82                                                                                                                                                     
805005364;ПЧ-22 мал.механизация цех №17;02.04.2016;09:20:08;Аи-92;-30;л.;33,6;-1008;АЗС №80 ГПН-Транзит;Свердловская обл.,  г.Невьянск, а/д "Екатеринбург-Серов", 86 км                                                                                                                                     
805005394;ПЧ ИССО Бульдозер  Б-10М;02.04.2016;15:18:31;ДТ;-200;л.;36,1;-7220;АЗС №37 ГПН;Свердловская обл., г.Арамиль, старый Челябинский тракт, 1 мая (на выезде из города  в сторону Сысерт                                                                                                               
805005394;ПЧ ИССО Бульдозер  Б-10М;02.04.2016;15:25:48;ДТ;,72;л.;36,1;25,99;АЗС №37 ГПН;Свердловская обл., г.Арамиль, старый Челябинский тракт, 1 мая (на выезде из города  в сторону Сысерт                                                                                                                
805005394;ПЧ ИССО Бульдозер  Б-10М;01.04.2016;14:50:56;ДТ;-200;л.;36,3;-7260;АЗС №37 ГПН;Свердловская обл., г.Арамиль, старый Челябинский тракт, 1 мая (на выезде из города  в сторону Сысерт                                                                                                               
805005364;ПЧ-22 мал.механизация цех №17;02.04.2016;01:48:08;Аи-92;-30;л.;34,1;-1023;АЗС №169 ГПН;Свердл.обл. г.Ивдель, ул.Гидролизная, 1                                                                                                                                                                    
805005364;ПЧ-22 мал.механизация цех №17;01.04.2016;14:06:45;Аи-92;-90;л.;35,15;-3163,5;АЗС № 495 ГПН;РФ,Тюменская область, ХМАО, г.Югорск, ул.Югорская, д.48                                                                                                                                                
805005365;ПЧ-22 ГАЗ Вахта г.№О638ТВ96;01.04.2016;15:05:52;ДТ;-50;л.;38,9;-1945;АЗС № 495 ГПН;РФ,Тюменская область, ХМАО, г.Югорск, ул.Югорская, д.48                                                                                                                                                        
805005364;ПЧ-22 мал.механизация цех №17;01.04.2016;15:16:39;Аи-92;-50;л.;35,15;-1757,5;АЗС № 495 ГПН;РФ,Тюменская область, ХМАО, г.Югорск, ул.Югорская, д.48                                                                                                                                                
805005437;ПЧ-12 МТЗ-82 Верещагино;01.04.2016;17:34:13;Аи-92;-30;л.;34,6;-1038;АЗС № 320 ГПН;РФ,Тюменская область, Заводоуковский район, Трасса 1Р402 "Тюмень - Ялуторовск - Ишим - Омск",121 км                                                                                                             
